212 100
A21 10 2
B105 105
C281 10 4
D451 5 10
E46 4 5
F1 6 7
G1 10 5
H166 10 1
I91 7 2
L41 3 1
M81 9 7
N301 9 6
O501 10 10
P271 2 7
Q326 4 9
R1 6 3
S281 4 10
T381 10 9
U221 6 5
V1 4 7
Z1 3 4
A241 5 7
B1 6 7
C1 4 9
D121 2 10
E81 6 4
F121 6 6
G1 3 8
H169 8 6
I1 5 8
L145 2 10
M37 10 8
N1 6 3
O1 6 7
P1 2 6
Q1 10 10
R1 7 8
S1 1 4
T1 7 4
U1 5 1
V1 5 4
Z1 4 1
A301 6 9
B1 8 7
C26 1 4
D451 9 6
E31 1 1
F1 10 6
G421 6 8
H401 10 6
I46 6 3
L426 8 9
M1 6 5
N391 7 6
O26 4 1
P151 2 8
Q91 2 7
R71 4 3
S61 3 9
T131 5 8
U361 5 7
V376 6 9
Z274 5 8
A141 4 6
B309 3 8
C358 7 10
D1 7 3
E1 8 9
F547 9 4
G421 7 3
H841 10 10
I211 9 1
L1 2 8
M53 8 5
N1 6 7
O49 8 4
P23 7 4
Q1 4 2
R22 4 3
S1 3 8
T1 2 10
U19 1 5
V97 5 1
Z337 7 7
A41 9 1
B181 4 5
C113 3 4
D121 3 3
E85 4 3
F1 6 5
G81 3 1
H205 7 10
I289 5 7
L253 4 10
M91 5 10
N37 2 4
O325 9 9
P271 2 7
Q181 1 4
R325 8 10
S49 6 2
T253 1 6
U649 8 10
V595 1 10
Z109 4 8
A586 7 6
B226 1 4
C361 5 5
D253 5 9
E163 6 3
F199 4 7
G73 3 1
H79 6 7
I13 1 1
L133 1 10
M73 3 3
N25 8 1
O1 3 6
P193 7 1
Q217 3 3
R121 2 8
S199 3 8
T163 7 2
U313 10 3
V211 3 4
Z613 8 9
A481 10 6
B73 4 8
C49 2 2
D1 2 9
E1 4 7
F541 6 9
G961 10 6
H1 7 4
I601 10 2
L241 5 1
M961 9 7
N91 7 2
O361 6 6
P121 10 2
Q1021 8 9
R241 6 6
S181 3 2
T97 7 9
U145 4 4
V145 2 6
Z1 5 10
A361 9 6
B253 8 6
C61 1 9
D481 10 6
E541 5 10
F190 3 6
G183 9 4
H85 9 3
I365 8 5
L127 9 9
M316 4 5
N71 3 2
O141 2 8
P85 9 3
Q113 1 3
R801 6 10
S241 2 6
T801 6 10
U301 4 2
V521 8 5
Z401 1 7
A781 10 3
B211 6 1
C661 6 5
D601 5 5
E85 1 6
F121 2 8
G133 7 4
H85 10 4
I82 2 7
L61 10 10
M115 10 9
N121 6 2
O55 5 1
P55 1 2
Q55 2 1
R109 3 1
S271 3 2
T190 1 6
U811 6 9
V217 2 4
Z100 3 8
A613 7 10
B271 2 3
C127 10 4
D171 9 8
E121 2 4
F181 8 10
G1 5 7
H221 10 1
I1 1 10
L241 4 8
M1 6 3
N201 2 6
O241 3 5
P1 6 3
Q401 7 3
R481 7 5
S49 1 2
T673 8 6
U673 7 7
V385 9 3
Z49 5 1
A65 6 2
B577 7 5
